1,6135.492057
2,7409.435955
3,9932.788365
4,13542.76132
5,19190.4338
6,11225.29924
7,8783.347623
8,4061.267587
9,9561.289903
10,9659.196415
11,3815.139165
12,14771.0797
13,5112.021224
14,5107.771548
15,5273.014107
16,4602.074311
17,3857.466571
18,3776.842941
19,1726.297376
20,1602.859036
21,2661.260231
22,6420.856519
23,2520.596192
24,5406.882408
25,5420.200454
26,7065.087592
27,3797.744632
28,6734.700009
29,2245.774272
30,16742.05402
31,15571.52704
32,22292.84355
33,25938.349
34,39778.67823
35,45143.39337
36,4542.468179
37,6857.849368
38,5682.104727
39,4750.346282
40,3207.913425
41,4796.809879
42,8098.305103
43,4700.267669
44,6994.35069
45,5022.930254
46,6112.81519
47,8592.419416
48,3231.890452
49,3205.949497
50,3224.665213
51,4785.919234
52,6908.629529
53,3673.995795
54,3839.949864
55,4374.690985
56,3134.288638
57,2562.718283
58,8788.319318
59,1886.847022
60,4966.776038
61,4176.987833
62,16577.07205
63,20457.18596
64,12686.39777
65,15536.28186
66,1068.540765
67,1731.575599
68,1640.957132
